Azure_Score,AWS_Score,Google_Score,IBM_Score,Manual_label
0.8875421882,0.5,0,0.987951,1
0.8326028585,0.6,0.1000000015,0.655981,1
0.5,0.5,0.1000000015,0,1
0.7921944857,0.5,0.1000000015,0.580306,1
0.7495814562,0.5,0.1,0.683194,2
0.5,0.5,0,0.427012,1
0.5,0.5,0,0.990295,1
0.5,0.5,-0.200000003,-0.24186,1
0.5,0.5,-0.1000000015,-0.516043,1
0.5,0.5,0.3000000119,0,2
0.5,0.7,0,0,0
0.5,0.5,0,0.876166,1
0.5,0.5,0.400000006,0.892833,1
0.5,0.5,0.400000006,0.932051,2
0.5,0.5,0.8000000119,0.931991,1
0.5,0.5,0.3000000119,0.81212,1
0.7487565875,0.5,0,0.918546,1
0.5,0.5,-0.1000000015,0.724225,1
0.5,0.5,0.200000003,0.87895,1
0.8760291934,0.5,0,0.844538,2
0.8244692087,0.5,0.200000003,0.590421,1
0.5,0.5,0.3000000119,0.815343,1
0.5,0.5,0,0.654059,2
0.5,0.5,0.6000000238,0.867419,1
0.5,0.6,0.400000006,0.931685,1
0.8673113585,0.5,0,0.386466,0
0.5,0.4,0.3000000119,0.795086,1
0.5,0.5,0,0.460248,1
0.5,0.7,0.400000006,0.998674,1
0.8310141563,0.5,0.3000000119,0.911229,1
0.5,0.5,0.200000003,0.652505,1
0.7179530263,0.5,0.3000000119,0.62968,1
0.5,0.5,0.5,0.884756,1
0.9589054585,0.5,-0.200000003,-0.449016,0
0.8807842731,0.5,0.400000006,0.774048,1
0.5,0.5,0.400000006,0.887718,1
0.8744556904,0.5,0.3000000119,0.72143,1
0.9447548985,0.5,-0.3000000119,0.410063,1
0.9602634907,0.5,0.3000000119,0.573685,2
0.5,0.5,0.5,0.761691,1
0.9509230852,0.5,0.5,0.938316,1
0.5,0.5,0.6000000238,0.915053,1
0.5,0.5,0.6000000238,0.852729,1
0.7176412344,0.5,0.200000003,0.749032,1
0.9449238777,0.7,-0.200000003,-0.359171,1
0.5,0.5,0.200000003,0.681816,1
0.8013297915,0.5,0.400000006,0.788475,1
0.5,0.8,0,0.834782,1
0.5,0.5,0.3000000119,0.92161,1
0.8247823715,0.5,0.400000006,0.869526,1
0.5,0.5,0,0.5246,1
0.756015718,0.5,0.3000000119,0.835563,1
0.9266140461,0.5,0.5,0.907673,1
0.5,0.6,0.4,0.559877,2
0.5,6,0.400000006,0.916148,1
0.5,0.97,-0.400000006,-0.852252,0
0.9599943161,0.4,0.5,0.927146,1
0.5,0.5,0.200000003,0.836787,2
0.5,0.6,0.3000000119,0.880863,1
0.5,0.5,0.1000000015,0.617331,2
0.7651556134,0.5,0,0.779701,2
0.756015718,0.5,0.200000003,0.684152,1
0.2851483524,0.87,0,0.610463,1
0.8275827169,0.5,0.1000000015,0.747194,2
0.5,0.55,0.400000006,0.670171,1
0.5,0.4,0.5,0.861906,1
0.7884715199,0.5,0,0,1
0.5,0.5,0,0.699863,2
0.5,0.5,0.200000003,0.775696,1
0.5,0.65,0.5,0.871649,1
0.5,0.6,0.1000000015,0.667461,2
0.706682086,0.5,0.3000000119,0.916825,1
0.7405976057,0.5,0.3000000119,0.688036,1
